,NC_002947,NC_004347,NC_008577,NC_008700,NC_009092,NC_017506,NC_019936,NZ_CP007637,NZ_CP009273,NZ_CP012830,NZ_CP012831,NZ_CP015225,NZ_JIBD01000001,NZ_KB893650,NZ_LKBJ01000002,NZ_LUKJ01000001,NZ_LWKU01000001
NC_002947,0.0,0.5754038431495079,0.5644930479612561,0.5222246523980628,0.531616934853929,0.4705889704733635,0.290248398687705,0.2389939072019997,0.532191845024215,0.23700046867676924,0.22417747226995782,0.22681456022496485,0.5036962974535228,0.5771410717075457,0.2305827214497735,0.23833775972504295,0.5174379003280737
NC_004347,0.5754038431495079,0.0,0.13895328854866426,0.3533322918294017,0.35173254179034524,0.5829714107170755,0.5779346977034838,0.5727167630057803,0.4997281674738322,0.5721730979534447,0.5763099515700671,0.575416341196688,0.6370004686767693,0.5508764255585065,0.5727167630057803,0.5715231995000781,0.5038275269489142
NC_008577,0.5644930479612561,0.13895328854866426,0.0,0.34342134041556005,0.33960318700203096,0.5762599593813467,0.5689236056866115,0.5628433057334792,0.494241524761756,0.5623933760349945,0.5660428058115919,0.5653991563818154,0.6250398375253866,0.5514513357287923,0.5626183408842368,0.5615935010154663,0.49748476800499924
NC_008700,0.5222246523980628,0.3533322918294017,0.34342134041556005,0.0,0.3413966567723793,0.5385783471332605,0.5258240899859397,0.527023902515232,0.4753382284018122,0.5288298703327605,0.5259615685049212,0.5276300578034682,0.5760849867208249,0.5529511013904077,0.5261615372598032,0.527505077331667,0.4709639118887674
NC_009092,0.531616934853929,0.35173254179034524,0.33960318700203096,0.3413966567723793,0.0,0.5507514450867051,0.5338103421340415,0.5368098734572723,0.48641149820340573,0.5372160599906265,0.5336103733791595,0.5347476956725512,0.584089985939697,0.5557756600531167,0.5350913919700047,0.5378097172316826,0.4798562724574285
NC_017506,0.4705889704733635,0.5829714107170755,0.5762599593813467,0.5385783471332605,0.5507514450867051,0.0,0.4728386189657866,0.480487423840025,0.5494453991563818,0.48240587408217467,0.4736009998437744,0.47581940321824717,0.5462771441962193,0.5724917981565381,0.47790657709732853,0.4812997969067333,0.5391532573035464
NC_019936,0.290248398687705,0.5779346977034838,0.5689236056866115,0.5258240899859397,0.5338103421340415,0.4728386189657866,0.0,0.3052210592094985,0.5375035150757694,0.30170285892829246,0.29129198562724573,0.2941665364786752,0.5020528042493361,0.5750351507576941,0.29767223871270115,0.30271520074988284,0.5216184971098266
NZ_CP007637,0.2389939072019997,0.5727167630057803,0.5628433057334792,0.527023902515232,0.5368098734572723,0.480487423840025,0.3052210592094985,0.0,0.5341352913607249,0.16635525699109513,0.16597406655210123,0.16881737228558039,0.5188939228245587,0.5751288861115451,0.16248086236525544,0.16464302452741758,0.5212748008123731
NZ_CP009273,0.532191845024215,0.4997281674738322,0.494241524761756,0.4753382284018122,0.48641149820340573,0.5494453991563818,0.5375035150757694,0.5341352913607249,0.0,0.5330292141852836,0.534728948601781,0.5350538978284644,0.5860646773941571,0.5583752538665834,0.5303546320887361,0.5322668333072957,0.2175097640993595
NZ_CP012830,0.23700046867676924,0.5721730979534447,0.5623933760349945,0.5288298703327605,0.5372160599906265,0.48240587408217467,0.30170285892829246,0.16635525699109513,0.5330292141852836,0.0,0.14991407592563663,0.1510826433369786,0.5255366349007967,0.5718543977503515,0.1314732073113576,0.1233557256678644,0.5210435869395407
NZ_CP012831,0.22417747226995782,0.5763099515700671,0.5660428058115919,0.5259615685049212,0.5336103733791595,0.4736009998437744,0.29129198562724573,0.16597406655210123,0.534728948601781,0.14991407592563663,0.0,0.061396656772379314,0.5076206842680832,0.5778222152788627,0.14322137166067803,0.1465833463521325,0.5188189345414779
NZ_CP015225,0.22681456022496485,0.575416341196688,0.5653991563818154,0.5276300578034682,0.5347476956725512,0.47581940321824717,0.2941665364786752,0.16881737228558039,0.5350538978284644,0.1510826433369786,0.061396656772379314,0.0,0.5115013279175129,0.5769286049054835,0.14434619590688955,0.14693329167317606,0.5204061865333541
NZ_JIBD01000001,0.5036962974535228,0.6370004686767693,0.6250398375253866,0.5760849867208249,0.584089985939697,0.5462771441962193,0.5020528042493361,0.5188939228245587,0.5860646773941571,0.5255366349007967,0.5076206842680832,0.5115013279175129,0.0,0.6397750351507577,0.5171379471957507,0.5233994688329948,0.562730823308858
NZ_KB893650,0.5771410717075457,0.5508764255585065,0.5514513357287923,0.5529511013904077,0.5557756600531167,0.5724917981565381,0.5750351507576941,0.5751288861115451,0.5583752538665834,0.5718543977503515,0.5778222152788627,0.5769286049054835,0.6397750351507577,0.0,0.5739853147945634,0.5725667864396188,0.5638868926730198
NZ_LKBJ01000002,0.2305827214497735,0.5727167630057803,0.5626183408842368,0.5261615372598032,0.5350913919700047,0.47790657709732853,0.29767223871270115,0.16248086236525544,0.5303546320887361,0.1314732073113576,0.14322137166067803,0.14434619590688955,0.5171379471957507,0.5739853147945634,0.0,0.11478206530229651,0.5177690985783472
NZ_LUKJ01000001,0.23833775972504295,0.5715231995000781,0.5615935010154663,0.527505077331667,0.5378097172316826,0.4812997969067333,0.30271520074988284,0.16464302452741758,0.5322668333072957,0.1233557256678644,0.1465833463521325,0.14693329167317606,0.5233994688329948,0.5725667864396188,0.11478206530229651,0.0,0.5205811591938759
NZ_LWKU01000001,0.5174379003280737,0.5038275269489142,0.49748476800499924,0.4709639118887674,0.4798562724574285,0.5391532573035464,0.5216184971098266,0.5212748008123731,0.2175097640993595,0.5210435869395407,0.5188189345414779,0.5204061865333541,0.562730823308858,0.5638868926730198,0.5177690985783472,0.5205811591938759,0.0
